locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKJFLGDP_00810	CDS	852	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
JKJFLGDP_00811	CDS	738				hypothetical protein
JKJFLGDP_00812	CDS	984	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
JKJFLGDP_00813	CDS	108				hypothetical protein
JKJFLGDP_00814	CDS	516				hypothetical protein
JKJFLGDP_00815	CDS	333				hypothetical protein
JKJFLGDP_00816	CDS	180				hypothetical protein
JKJFLGDP_00817	CDS	1605				IS1634 family transposase ISMth2
JKJFLGDP_00818	CDS	453	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
JKJFLGDP_00819	CDS	390				hypothetical protein
JKJFLGDP_00820	CDS	141				hypothetical protein
JKJFLGDP_00821	CDS	147				hypothetical protein
JKJFLGDP_00822	CDS	255				hypothetical protein
JKJFLGDP_00823	CDS	132				hypothetical protein
JKJFLGDP_00824	CDS	96				hypothetical protein
JKJFLGDP_00825	CDS	321				hypothetical protein
JKJFLGDP_00826	CDS	438	dapB_1	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JKJFLGDP_00827	CDS	873	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JKJFLGDP_00828	CDS	216				hypothetical protein
JKJFLGDP_00829	CDS	1443	pdxK	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
JKJFLGDP_00830	CDS	552				hypothetical protein
JKJFLGDP_00831	CDS	456				hypothetical protein
JKJFLGDP_00832	CDS	1197				hypothetical protein
JKJFLGDP_00833	CDS	1092				hypothetical protein
JKJFLGDP_00834	CDS	1710	fadD3	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
JKJFLGDP_00835	CDS	1164	pqqE_2	1.21.98.4		PqqA peptide cyclase
JKJFLGDP_00836	CDS	870				hypothetical protein
JKJFLGDP_00837	CDS	417	yccU		COG1832	putative protein YccU
JKJFLGDP_00838	CDS	756	glpG	3.4.21.105		Rhomboid protease GlpG
JKJFLGDP_00839	CDS	495				hypothetical protein
JKJFLGDP_00840	CDS	780	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
JKJFLGDP_00841	CDS	1452	leuA_1	2.3.3.13	COG0119	2-isopropylmalate synthase
JKJFLGDP_00842	CDS	618	pnpB	1.6.5.6		p-benzoquinone reductase
JKJFLGDP_00843	CDS	1176		3.4.-.-		putative peptidase
JKJFLGDP_00844	CDS	582				hypothetical protein
JKJFLGDP_00845	CDS	117				hypothetical protein
JKJFLGDP_00846	CDS	1923		2.8.3.-		butyrate:acetyl-CoA coenzyme A-transferase
JKJFLGDP_00847	CDS	804	queG_1	1.17.99.6		Epoxyqueuosine reductase
JKJFLGDP_00848	CDS	459	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
JKJFLGDP_00849	CDS	882				IS3 family transposase ISMco1
JKJFLGDP_00850	CDS	330				hypothetical protein
JKJFLGDP_00851	CDS	513	fbiB_3	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
JKJFLGDP_00852	CDS	339				hypothetical protein
JKJFLGDP_00853	CDS	672				hypothetical protein
JKJFLGDP_00854	CDS	1176	ychF		COG0012	Ribosome-binding ATPase YchF
JKJFLGDP_00855	CDS	1092				hypothetical protein
JKJFLGDP_00856	CDS	1011				hypothetical protein
JKJFLGDP_00857	CDS	435	fprA_2	1.-.-.-	COG0426	Nitric oxide reductase
JKJFLGDP_00858	CDS	555				hypothetical protein
JKJFLGDP_00859	CDS	1395				hypothetical protein
JKJFLGDP_00860	CDS	1875	ndhI_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
JKJFLGDP_00861	CDS	546	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
JKJFLGDP_00862	CDS	357				hypothetical protein
JKJFLGDP_00863	CDS	930	copB_1	7.2.2.8		Copper-exporting P-type ATPase B
JKJFLGDP_00864	CDS	1224	copB_2	7.2.2.8		Copper-exporting P-type ATPase B
JKJFLGDP_00865	CDS	207				hypothetical protein
JKJFLGDP_00866	CDS	360				hypothetical protein
JKJFLGDP_00867	CDS	909				hypothetical protein
JKJFLGDP_00868	CDS	468			COG3039	IS5 family transposase ISMac22
JKJFLGDP_00869	CDS	555				hypothetical protein
JKJFLGDP_00870	CDS	270				hypothetical protein
JKJFLGDP_00871	CDS	1173				hypothetical protein
JKJFLGDP_00872	CDS	1512				hypothetical protein
JKJFLGDP_00873	CDS	741				hypothetical protein
JKJFLGDP_00874	CDS	666				hypothetical protein
JKJFLGDP_00875	CDS	708				IS21 family transposase ISKol1
JKJFLGDP_00876	CDS	1053				hypothetical protein
JKJFLGDP_00877	CDS	960				hypothetical protein
JKJFLGDP_00878	CDS	375				hypothetical protein
JKJFLGDP_00879	CDS	837				hypothetical protein
JKJFLGDP_00880	CDS	207				hypothetical protein
JKJFLGDP_00881	CDS	240				hypothetical protein
JKJFLGDP_00882	CDS	1233	cas4-cas1_2	3.1.-.-	COG1518	CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion
JKJFLGDP_00883	CDS	297	cas2_3	3.1.-.-		CRISPR-associated endoribonuclease Cas2
	repeat_region	182				
JKJFLGDP_00884	CDS	201				hypothetical protein
JKJFLGDP_00885	CDS	1878				hypothetical protein
JKJFLGDP_00886	CDS	279				hypothetical protein
JKJFLGDP_00887	CDS	261				hypothetical protein
JKJFLGDP_00888	CDS	489				hypothetical protein
JKJFLGDP_00889	CDS	2082				hypothetical protein
JKJFLGDP_00890	CDS	387				hypothetical protein
JKJFLGDP_00891	CDS	504				hypothetical protein
JKJFLGDP_00892	CDS	1074				hypothetical protein
JKJFLGDP_00893	CDS	414				hypothetical protein
JKJFLGDP_00894	CDS	180				hypothetical protein
JKJFLGDP_00895	tRNA	72				tRNA-Ala(cgc)
JKJFLGDP_00896	CDS	270				hypothetical protein
JKJFLGDP_00897	CDS	171				hypothetical protein
JKJFLGDP_00898	CDS	675				hypothetical protein
JKJFLGDP_00899	CDS	423				Bifunctional NMN adenylyltransferase/Nudix hydrolase
JKJFLGDP_00900	CDS	1692	gluQ	6.1.1.-		Glutamyl-Q tRNA(Asp) synthetase
JKJFLGDP_00901	CDS	267				hypothetical protein
JKJFLGDP_00902	CDS	855	cbiKp_1	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase CbiKP
JKJFLGDP_00903	CDS	411				hypothetical protein
JKJFLGDP_00904	CDS	567				hypothetical protein
JKJFLGDP_00905	CDS	402				hypothetical protein
JKJFLGDP_00906	CDS	108				hypothetical protein
JKJFLGDP_00907	CDS	729				hypothetical protein
JKJFLGDP_00908	CDS	324				hypothetical protein
JKJFLGDP_00909	CDS	1230				hypothetical protein
JKJFLGDP_00910	CDS	465				hypothetical protein
JKJFLGDP_00911	CDS	294				hypothetical protein
JKJFLGDP_00912	CDS	189				hypothetical protein
JKJFLGDP_00913	CDS	231				hypothetical protein
JKJFLGDP_00914	CDS	294		2.5.1.129		UbiX-like flavin prenyltransferase
JKJFLGDP_00915	CDS	201				hypothetical protein
JKJFLGDP_00916	CDS	213				hypothetical protein
JKJFLGDP_00917	CDS	339		2.5.-.-		Deoxyhypusine synthase-like protein
JKJFLGDP_00918	CDS	315				hypothetical protein
JKJFLGDP_00919	CDS	153				hypothetical protein
JKJFLGDP_00920	CDS	111				hypothetical protein
JKJFLGDP_00921	CDS	111				hypothetical protein
JKJFLGDP_00922	CDS	345				hypothetical protein
JKJFLGDP_00923	CDS	486	sglT			Sodium/glucose cotransporter
JKJFLGDP_00924	CDS	717	fpgS	6.3.2.17		Folylpolyglutamate synthase
JKJFLGDP_00925	CDS	186				hypothetical protein
JKJFLGDP_00926	CDS	129				hypothetical protein
JKJFLGDP_00927	CDS	96				hypothetical protein
JKJFLGDP_00928	CDS	201				hypothetical protein
JKJFLGDP_00929	CDS	447				hypothetical protein
JKJFLGDP_00930	CDS	462				hypothetical protein
JKJFLGDP_00931	CDS	171				hypothetical protein
JKJFLGDP_00932	CDS	504				hypothetical protein
JKJFLGDP_00933	CDS	441	thiD	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
JKJFLGDP_00934	CDS	1038				hypothetical protein
JKJFLGDP_00935	CDS	216				hypothetical protein
JKJFLGDP_00936	CDS	876	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JKJFLGDP_00937	CDS	795	dapB_2	1.17.1.8		4-hydroxy-tetrahydrodipicolinate reductase
JKJFLGDP_00938	CDS	426				hypothetical protein
JKJFLGDP_00939	CDS	96				hypothetical protein
JKJFLGDP_00940	CDS	507				hypothetical protein
JKJFLGDP_00941	CDS	1008	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
JKJFLGDP_00942	CDS	1671	lig_1	6.5.1.1		DNA ligase
JKJFLGDP_00943	CDS	1308	hisD	1.1.1.23		Histidinol dehydrogenase
JKJFLGDP_00944	CDS	888				hypothetical protein
JKJFLGDP_00945	CDS	2127	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
JKJFLGDP_00946	CDS	630				hypothetical protein
JKJFLGDP_00947	CDS	666				hypothetical protein
JKJFLGDP_00948	CDS	1248	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
JKJFLGDP_00949	CDS	1896				hypothetical protein
JKJFLGDP_00950	CDS	1266	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
JKJFLGDP_00951	CDS	999				hypothetical protein
JKJFLGDP_00952	tRNA	77				tRNA-Pro(tgg)
JKJFLGDP_00953	CDS	1074				hypothetical protein
JKJFLGDP_00954	CDS	180				hypothetical protein
JKJFLGDP_00955	CDS	1308	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
JKJFLGDP_00956	CDS	198				hypothetical protein
JKJFLGDP_00957	CDS	1965				hypothetical protein
JKJFLGDP_00958	CDS	702			COG1926	putative protein
JKJFLGDP_00959	CDS	924	arcC1	2.7.2.2		Carbamate kinase 1
JKJFLGDP_00960	CDS	324				hypothetical protein
JKJFLGDP_00961	CDS	3423				hypothetical protein
JKJFLGDP_00962	CDS	1227	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKJFLGDP_00963	CDS	786	yadH_2		COG0842	Inner membrane transport permease YadH
JKJFLGDP_00964	CDS	555				hypothetical protein
JKJFLGDP_00965	CDS	834	arsM	2.1.1.137		Arsenite methyltransferase
JKJFLGDP_00966	CDS	570	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
JKJFLGDP_00967	CDS	3090	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JKJFLGDP_00968	CDS	1227				hypothetical protein
JKJFLGDP_00969	CDS	1797				hypothetical protein
JKJFLGDP_00970	CDS	1608	trkH_1		COG0168	Trk system potassium uptake protein TrkH
JKJFLGDP_00971	CDS	408				hypothetical protein
JKJFLGDP_00972	CDS	276				hypothetical protein
JKJFLGDP_00973	CDS	561				hypothetical protein
JKJFLGDP_00974	CDS	630	prmC_2	2.1.1.297		Release factor glutamine methyltransferase
JKJFLGDP_00975	CDS	2493	ycf3_3			Photosystem I assembly protein Ycf3
JKJFLGDP_00976	CDS	1242				hypothetical protein
JKJFLGDP_00977	CDS	438				hypothetical protein
JKJFLGDP_00978	CDS	768	nfo_2	3.1.21.2		endonuclease 4
JKJFLGDP_00979	CDS	636				hypothetical protein
JKJFLGDP_00980	CDS	1611				hypothetical protein
JKJFLGDP_00981	CDS	693	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
JKJFLGDP_00982	CDS	324				hypothetical protein
JKJFLGDP_00983	CDS	585				hypothetical protein
JKJFLGDP_00984	CDS	1644	dsbD	1.8.1.8		Thiol:disulfide interchange protein DsbD
JKJFLGDP_00985	CDS	354				hypothetical protein
JKJFLGDP_00986	CDS	1761				hypothetical protein
JKJFLGDP_00987	CDS	414				hypothetical protein
JKJFLGDP_00988	CDS	912				hypothetical protein
JKJFLGDP_00989	CDS	1203	egtE	4.4.-.-		hercynylcysteine sulfoxide lyase
JKJFLGDP_00990	CDS	765				hypothetical protein
JKJFLGDP_00991	CDS	810				hypothetical protein
JKJFLGDP_00992	CDS	1059				hypothetical protein
JKJFLGDP_00993	CDS	1086	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
JKJFLGDP_00994	CDS	1140	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
JKJFLGDP_00995	CDS	489				hypothetical protein
JKJFLGDP_00996	CDS	1062			COG3039	IS5 family transposase ISArch6
JKJFLGDP_00997	CDS	1119				hypothetical protein
JKJFLGDP_00998	CDS	1557				IS66 family transposase ISMbu5
JKJFLGDP_00999	CDS	720				hypothetical protein
JKJFLGDP_01000	CDS	423				hypothetical protein
JKJFLGDP_01001	CDS	318	zosA	3.6.3.-	COG2217	Zinc-transporting ATPase
JKJFLGDP_01002	CDS	921				hypothetical protein
JKJFLGDP_01003	CDS	330				hypothetical protein
JKJFLGDP_01004	CDS	882				IS3 family transposase ISMco1
JKJFLGDP_01005	CDS	342				hypothetical protein
JKJFLGDP_01006	CDS	303				hypothetical protein
JKJFLGDP_01007	CDS	1041				hypothetical protein
JKJFLGDP_01008	CDS	1359	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
JKJFLGDP_01009	CDS	2007	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JKJFLGDP_01010	CDS	2019	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JKJFLGDP_01011	CDS	1563				hypothetical protein
JKJFLGDP_01012	CDS	1986	acsA_3	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
JKJFLGDP_01013	CDS	3717				hypothetical protein
JKJFLGDP_01014	CDS	900	gshB	6.3.2.3		Glutathione synthetase
JKJFLGDP_01015	CDS	1278	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
JKJFLGDP_01016	CDS	231				hypothetical protein
JKJFLGDP_01017	CDS	453				hypothetical protein
JKJFLGDP_01018	CDS	117				hypothetical protein
JKJFLGDP_01019	CDS	237	norV			Anaerobic nitric oxide reductase flavorubredoxin
JKJFLGDP_01020	CDS	1200	fprA1	1.6.3.4	COG0426	Flavo-diiron protein FprA1
JKJFLGDP_01021	CDS	852				hypothetical protein
JKJFLGDP_01022	CDS	564				hypothetical protein
JKJFLGDP_01023	CDS	885	htpX_1	3.4.24.-	COG0501	Protease HtpX 
JKJFLGDP_01024	CDS	459	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
JKJFLGDP_01025	CDS	555				hypothetical protein
JKJFLGDP_01026	CDS	1218	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
JKJFLGDP_01027	CDS	1212	truB	5.4.99.25		tRNA pseudouridine synthase B
JKJFLGDP_01028	CDS	525	cmk	2.7.4.25		Cytidylate kinase
JKJFLGDP_01029	CDS	609				hypothetical protein
JKJFLGDP_01030	CDS	1614	secY			Protein translocase subunit SecY
JKJFLGDP_01031	CDS	378				hypothetical protein
JKJFLGDP_01032	CDS	456				hypothetical protein
JKJFLGDP_01033	CDS	624				hypothetical protein
JKJFLGDP_01034	CDS	528				hypothetical protein
JKJFLGDP_01035	CDS	462				hypothetical protein
JKJFLGDP_01036	CDS	375				hypothetical protein
JKJFLGDP_01037	CDS	531	rplF		COG0097	50S ribosomal protein L6
JKJFLGDP_01038	CDS	390	rpsH			30S ribosomal protein S8
JKJFLGDP_01039	CDS	153				hypothetical protein
JKJFLGDP_01040	CDS	516	rplE			50S ribosomal protein L5
JKJFLGDP_01041	CDS	705				hypothetical protein
JKJFLGDP_01042	CDS	288				hypothetical protein
JKJFLGDP_01043	CDS	399	rplN		COG0093	50S ribosomal protein L14
JKJFLGDP_01044	CDS	321				hypothetical protein
JKJFLGDP_01045	CDS	294				hypothetical protein
JKJFLGDP_01046	CDS	201				hypothetical protein
JKJFLGDP_01047	CDS	828				hypothetical protein
JKJFLGDP_01048	CDS	462				hypothetical protein
JKJFLGDP_01049	CDS	411				hypothetical protein
JKJFLGDP_01050	CDS	714	rplB		COG0090	50S ribosomal protein L2
JKJFLGDP_01051	CDS	249				hypothetical protein
JKJFLGDP_01052	CDS	774				hypothetical protein
JKJFLGDP_01053	CDS	1005				hypothetical protein
JKJFLGDP_01054	CDS	840				hypothetical protein
JKJFLGDP_01055	CDS	975	udk	2.7.1.48		Uridine kinase
JKJFLGDP_01056	CDS	942				hypothetical protein
JKJFLGDP_01057	CDS	1347				hypothetical protein
JKJFLGDP_01058	CDS	993	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
JKJFLGDP_01059	CDS	768	tmk	2.7.4.9	COG0125	Thymidylate kinase
JKJFLGDP_01060	CDS	657				hypothetical protein
JKJFLGDP_01061	CDS	918				hypothetical protein
JKJFLGDP_01062	CDS	861				hypothetical protein
JKJFLGDP_01063	CDS	510				hypothetical protein
JKJFLGDP_01064	CDS	600				hypothetical protein
JKJFLGDP_01065	CDS	888		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
JKJFLGDP_01066	CDS	1146		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
JKJFLGDP_01067	CDS	747		2.5.1.41	COG1646	Geranylgeranylglyceryl phosphate synthase
JKJFLGDP_01068	CDS	150				hypothetical protein
JKJFLGDP_01069	CDS	1254		1.1.1.38		NAD-dependent malic enzyme
JKJFLGDP_01070	CDS	120				hypothetical protein
JKJFLGDP_01071	CDS	1038	hicd	1.1.1.87	COG0473	Homoisocitrate dehydrogenase
JKJFLGDP_01072	CDS	828				hypothetical protein
JKJFLGDP_01073	CDS	480	DmdB_1	4.2.1.85		2,3-dimethylmalate dehydratase small subunit
JKJFLGDP_01074	CDS	204				hypothetical protein
JKJFLGDP_01075	CDS	609				hypothetical protein
JKJFLGDP_01076	CDS	588	coaBC_1	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
JKJFLGDP_01077	CDS	396				hypothetical protein
JKJFLGDP_01078	CDS	1254	murD2	6.3.2.53		UDP-N-acetylmuramoyl-L-alanine--L-glutamate ligase
JKJFLGDP_01079	CDS	1101				hypothetical protein
JKJFLGDP_01080	CDS	291				hypothetical protein
JKJFLGDP_01081	CDS	1344				ISNCY family transposase ISMac19
JKJFLGDP_01082	CDS	237				IS66 family transposase ISArch14
JKJFLGDP_01083	CDS	1329				hypothetical protein
JKJFLGDP_01084	CDS	981	blaSE	3.4.21.19	COG3591	Glutamyl endopeptidase
JKJFLGDP_01085	CDS	909				hypothetical protein
JKJFLGDP_01086	CDS	177				hypothetical protein
JKJFLGDP_01087	CDS	1605				IS1634 family transposase ISMth2
JKJFLGDP_01088	CDS	600				IS66 family transposase ISArch15
JKJFLGDP_01089	CDS	267				IS66 family transposase ISArch15
JKJFLGDP_01090	CDS	882				IS3 family transposase ISMco1
JKJFLGDP_01091	CDS	330				hypothetical protein
JKJFLGDP_01092	CDS	222				hypothetical protein
JKJFLGDP_01093	CDS	342				hypothetical protein
JKJFLGDP_01094	CDS	2745	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
JKJFLGDP_01095	CDS	597	pyrE_3	2.4.2.10		Orotate phosphoribosyltransferase
JKJFLGDP_01096	CDS	453				hypothetical protein
JKJFLGDP_01097	CDS	444				hypothetical protein
JKJFLGDP_01098	CDS	1761	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKJFLGDP_01099	CDS	1077				hypothetical protein
JKJFLGDP_01100	CDS	618				hypothetical protein
JKJFLGDP_01101	CDS	648				hypothetical protein
JKJFLGDP_01102	CDS	777	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
JKJFLGDP_01103	CDS	1182	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
JKJFLGDP_01104	CDS	210	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
JKJFLGDP_01105	CDS	1209	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
JKJFLGDP_01106	CDS	696	cbiM		COG0310	Cobalt transport protein CbiM
JKJFLGDP_01107	CDS	324	cbiN		COG1930	Cobalt transport protein CbiN
JKJFLGDP_01108	CDS	783	cbiQ		COG0619	Cobalt transport protein CbiQ
JKJFLGDP_01109	CDS	1224	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKJFLGDP_01110	CDS	768	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
JKJFLGDP_01111	CDS	1266				hypothetical protein
JKJFLGDP_01112	CDS	894				hypothetical protein
JKJFLGDP_01113	CDS	639				hypothetical protein
JKJFLGDP_01114	CDS	225				hypothetical protein
JKJFLGDP_01115	CDS	309				hypothetical protein
JKJFLGDP_01116	CDS	606				hypothetical protein
JKJFLGDP_01117	CDS	156				hypothetical protein
JKJFLGDP_01118	CDS	477				hypothetical protein
JKJFLGDP_01119	CDS	213				hypothetical protein
JKJFLGDP_01120	CDS	177				hypothetical protein
JKJFLGDP_01121	CDS	357				IS701 family transposase ISMco3
JKJFLGDP_01122	CDS	918				IS66 family transposase ISArch14
JKJFLGDP_01123	CDS	225				hypothetical protein
JKJFLGDP_01124	CDS	945	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JKJFLGDP_01125	CDS	567				hypothetical protein
JKJFLGDP_01126	CDS	315				hypothetical protein
JKJFLGDP_01127	CDS	306				hypothetical protein
JKJFLGDP_01128	CDS	234				hypothetical protein
JKJFLGDP_01129	CDS	258				hypothetical protein
JKJFLGDP_01130	CDS	567				hypothetical protein
JKJFLGDP_01131	CDS	240				hypothetical protein
JKJFLGDP_01132	CDS	624				ISNCY family transposase ISMma11
JKJFLGDP_01133	CDS	555				ISNCY family transposase ISMac19
JKJFLGDP_01134	CDS	528				hypothetical protein
JKJFLGDP_01135	CDS	213				hypothetical protein
JKJFLGDP_01136	CDS	312				hypothetical protein
JKJFLGDP_01137	CDS	987	arnC_4	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JKJFLGDP_01138	CDS	1245				hypothetical protein
JKJFLGDP_01139	CDS	1380				hypothetical protein
JKJFLGDP_01140	CDS	1623	epsK			putative membrane protein EpsK
JKJFLGDP_01141	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_01142	CDS	621				hypothetical protein
JKJFLGDP_01143	CDS	708	wbgU_2	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
JKJFLGDP_01144	CDS	264				hypothetical protein
JKJFLGDP_01145	CDS	489				hypothetical protein
JKJFLGDP_01146	CDS	1218	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
JKJFLGDP_01147	CDS	489				hypothetical protein
JKJFLGDP_01148	CDS	591	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
JKJFLGDP_01149	CDS	255				hypothetical protein
JKJFLGDP_01150	CDS	459				hypothetical protein
JKJFLGDP_01151	CDS	1569		2.4.2.4		Putative thymidine phosphorylase
JKJFLGDP_01152	CDS	846	hdaH	3.5.1.-		Histone deacetylase-like amidohydrolase
JKJFLGDP_01153	CDS	858				hypothetical protein
JKJFLGDP_01154	CDS	663				hypothetical protein
JKJFLGDP_01155	CDS	609				hypothetical protein
JKJFLGDP_01156	CDS	528				hypothetical protein
JKJFLGDP_01157	CDS	810	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
JKJFLGDP_01158	CDS	2334	purL_2	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
JKJFLGDP_01159	CDS	810	purQ_2	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
JKJFLGDP_01160	CDS	474	purS_2	6.3.5.3		Phosphoribosylformylglycinamidine synthase subunit PurS
JKJFLGDP_01161	CDS	345				hypothetical protein
JKJFLGDP_01162	CDS	168				hypothetical protein
JKJFLGDP_01163	CDS	3507	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
JKJFLGDP_01164	CDS	1311				hypothetical protein
JKJFLGDP_01165	CDS	2781				hypothetical protein
JKJFLGDP_01166	CDS	1146	recF			DNA replication and repair protein RecF
JKJFLGDP_01167	CDS	645				hypothetical protein
JKJFLGDP_01168	CDS	3360				hypothetical protein
JKJFLGDP_01169	CDS	174	trmY_2	2.1.1.257		tRNA (pseudouridine(54)-N(1))-methyltransferase
JKJFLGDP_01170	CDS	354	ycf3_4			Photosystem I assembly protein Ycf3
JKJFLGDP_01171	CDS	297				hypothetical protein
JKJFLGDP_01172	CDS	231	ycf3_5			Photosystem I assembly protein Ycf3
JKJFLGDP_01173	CDS	300				hypothetical protein
JKJFLGDP_01174	CDS	861	cpoB_3			Cell division coordinator CpoB
JKJFLGDP_01175	CDS	183				hypothetical protein
JKJFLGDP_01176	CDS	1029	cpoB_4			Cell division coordinator CpoB
JKJFLGDP_01177	CDS	1203	ycf3_6			Photosystem I assembly protein Ycf3
JKJFLGDP_01178	CDS	1524	cpoB_5			Cell division coordinator CpoB
JKJFLGDP_01179	CDS	183				hypothetical protein
JKJFLGDP_01180	CDS	417				hypothetical protein
JKJFLGDP_01181	CDS	2973	cpoB_6			Cell division coordinator CpoB
JKJFLGDP_01182	CDS	2313	cpoB_7			Cell division coordinator CpoB
JKJFLGDP_01183	CDS	1542	ycf3_7			Photosystem I assembly protein Ycf3
JKJFLGDP_01184	CDS	510				hypothetical protein
JKJFLGDP_01185	CDS	690				hypothetical protein
JKJFLGDP_01186	CDS	1503				hypothetical protein
JKJFLGDP_01187	CDS	231				hypothetical protein
JKJFLGDP_01188	CDS	1323				hypothetical protein
JKJFLGDP_01189	CDS	456				hypothetical protein
JKJFLGDP_01190	CDS	696				hypothetical protein
JKJFLGDP_01191	CDS	180			COG1145	Ferredoxin
JKJFLGDP_01192	CDS	2277				hypothetical protein
JKJFLGDP_01193	tRNA	73				tRNA-Ala(ggc)
JKJFLGDP_01194	CDS	666				hypothetical protein
JKJFLGDP_01195	CDS	894				hypothetical protein
JKJFLGDP_01196	CDS	594				hypothetical protein
JKJFLGDP_01197	CDS	1548	proS	6.1.1.15	COG0442	Proline--tRNA ligase
JKJFLGDP_01198	CDS	984	drrA_2	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
JKJFLGDP_01199	CDS	837				hypothetical protein
JKJFLGDP_01200	CDS	741				hypothetical protein
JKJFLGDP_01201	CDS	612				hypothetical protein
JKJFLGDP_01202	CDS	408				hypothetical protein
JKJFLGDP_01203	CDS	750				hypothetical protein
JKJFLGDP_01204	CDS	1359	hisS	6.1.1.21		Histidine--tRNA ligase
JKJFLGDP_01205	CDS	750	yrrB			TPR repeat-containing protein YrrB
JKJFLGDP_01206	CDS	216				hypothetical protein
JKJFLGDP_01207	CDS	2004	mutS2	3.1.-.-		Endonuclease MutS2
JKJFLGDP_01208	CDS	888				hypothetical protein
JKJFLGDP_01209	CDS	177				hypothetical protein
JKJFLGDP_01210	CDS	117				hypothetical protein
JKJFLGDP_01211	CDS	393				hypothetical protein
JKJFLGDP_01212	CDS	1335				hypothetical protein
JKJFLGDP_01213	CDS	270				hypothetical protein
JKJFLGDP_01214	CDS	612				hypothetical protein
JKJFLGDP_01215	CDS	1377				hypothetical protein
JKJFLGDP_01216	CDS	1272				hypothetical protein
JKJFLGDP_01217	CDS	273				hypothetical protein
