ANPAHHCN_00002	K02827
ANPAHHCN_01965	K07658
ANPAHHCN_01966	K07636
ANPAHHCN_01967	-
ANPAHHCN_01968	K02335
ANPAHHCN_01969	K10563
ANPAHHCN_01970	K00859
ANPAHHCN_01971	K00134
ANPAHHCN_01972	K07738
ANPAHHCN_01973	K03346
ANPAHHCN_01974	K11144
ANPAHHCN_01975	K01868
ANPAHHCN_01976	K03293
ANPAHHCN_01977	K02520
ANPAHHCN_01978	K02916
ANPAHHCN_01979	K02887
ANPAHHCN_01980	-
ANPAHHCN_01981	-
ANPAHHCN_01982	K03545
ANPAHHCN_01983	K03544
ANPAHHCN_01984	K03978
ANPAHHCN_01985	K02492
ANPAHHCN_01986	K02497
ANPAHHCN_01987	K01749
ANPAHHCN_01988	K01719
ANPAHHCN_01989	K01698
ANPAHHCN_01990	K01845
ANPAHHCN_01991	K07120
ANPAHHCN_01992	K01246
ANPAHHCN_01993	K01873
ANPAHHCN_01994	K11754
ANPAHHCN_01995	K02236
ANPAHHCN_01996	K03630
ANPAHHCN_01997	-
ANPAHHCN_01998	-
ANPAHHCN_01999	K03570
ANPAHHCN_02000	K03571
ANPAHHCN_02001	K02888
ANPAHHCN_02002	K07584
ANPAHHCN_02003	K02899
ANPAHHCN_02004	K03979
ANPAHHCN_02005	K06209
ANPAHHCN_02006	K03550
ANPAHHCN_02007	K03551
ANPAHHCN_02008	K07568
ANPAHHCN_02009	K00773
ANPAHHCN_02010	K03210
ANPAHHCN_02011	K03072
ANPAHHCN_02012	K07462
ANPAHHCN_02013	K00759
ANPAHHCN_02014	K00951
ANPAHHCN_02015	K07560
ANPAHHCN_02016	K01448
ANPAHHCN_02017	K01892
ANPAHHCN_02018	K01876
ANPAHHCN_02019	K22132
ANPAHHCN_02020	K07478
ANPAHHCN_02021	K17472
ANPAHHCN_02022	-
ANPAHHCN_02023	-
ANPAHHCN_02024	-
ANPAHHCN_02025	K04487
ANPAHHCN_02026	K00566
ANPAHHCN_02027	-
ANPAHHCN_02028	K03581
ANPAHHCN_02029	K01872
ANPAHHCN_02030	-
ANPAHHCN_02031	K07447
ANPAHHCN_02032	-
ANPAHHCN_02033	K00588
ANPAHHCN_02034	K08303
ANPAHHCN_02035	K08303
ANPAHHCN_02036	K00876
ANPAHHCN_02037	K03624
ANPAHHCN_02038	K06351
ANPAHHCN_02039	K06350
ANPAHHCN_02040	K02160
ANPAHHCN_02041	K01961
ANPAHHCN_02042	K07160
ANPAHHCN_02043	-
ANPAHHCN_02044	-
ANPAHHCN_02045	K11040
ANPAHHCN_02047	K01243
ANPAHHCN_02048	K07015
ANPAHHCN_02049	K06948
ANPAHHCN_02050	K00014
ANPAHHCN_02051	K07574
ANPAHHCN_02052	K00969
ANPAHHCN_02053	-
ANPAHHCN_02054	K09710
ANPAHHCN_02055	-
ANPAHHCN_02056	K02237
ANPAHHCN_02057	K01493
ANPAHHCN_02058	K02238
ANPAHHCN_02059	K02340
ANPAHHCN_02060	K02968
ANPAHHCN_02061	K03596
ANPAHHCN_02062	-
ANPAHHCN_02063	K03705
ANPAHHCN_02064	K03687
ANPAHHCN_02065	K04043
ANPAHHCN_02066	K03686
ANPAHHCN_02067	K02687
ANPAHHCN_02068	K09761
ANPAHHCN_02069	K18707
ANPAHHCN_02070	K02970
ANPAHHCN_02071	K07403
ANPAHHCN_02072	-
ANPAHHCN_02073	-
ANPAHHCN_02074	K06217
ANPAHHCN_02075	K07042
ANPAHHCN_02076	K00887
ANPAHHCN_02077	K01489
ANPAHHCN_02078	K03595
ANPAHHCN_02079	K03584
ANPAHHCN_02080	K01880
ANPAHHCN_02081	-
ANPAHHCN_02082	K09773
ANPAHHCN_02083	K02316
ANPAHHCN_02084	K03086
ANPAHHCN_02085	K06967
ANPAHHCN_02086	-
ANPAHHCN_02087	K05592
ANPAHHCN_02088	K01151
ANPAHHCN_02089	K02074
ANPAHHCN_02090	K09816
ANPAHHCN_02091	K02076
ANPAHHCN_02092	K04564
ANPAHHCN_02093	K00687
ANPAHHCN_02094	K02913
ANPAHHCN_02095	K01934
ANPAHHCN_02096	K19225
ANPAHHCN_02097	K00845
ANPAHHCN_02098	-
ANPAHHCN_02099	K01069
ANPAHHCN_02100	K02243
ANPAHHCN_02101	K02244
ANPAHHCN_02102	K02245
ANPAHHCN_02103	K02246
ANPAHHCN_02104	-
ANPAHHCN_02105	K02246
ANPAHHCN_02106	K00891
ANPAHHCN_02107	K00605
ANPAHHCN_02108	K00282
ANPAHHCN_02109	K00283
ANPAHHCN_02110	-
ANPAHHCN_02111	K03800
ANPAHHCN_02112	-
ANPAHHCN_02113	-
ANPAHHCN_02114	K01262
ANPAHHCN_02115	K02356
ANPAHHCN_02116	K02160
ANPAHHCN_02117	K01961
ANPAHHCN_02118	K10947
ANPAHHCN_02119	K03625
ANPAHHCN_02120	K03601
ANPAHHCN_02121	K03602
ANPAHHCN_02122	K13789
ANPAHHCN_02123	K03402
ANPAHHCN_02124	K03631
ANPAHHCN_02125	K00382
ANPAHHCN_02126	K00166
ANPAHHCN_02127	K00167
ANPAHHCN_02128	K00627
ANPAHHCN_02129	-
ANPAHHCN_02130	-
ANPAHHCN_02132	K01258
ANPAHHCN_02133	K00033
ANPAHHCN_02134	K01759
ANPAHHCN_02135	-
ANPAHHCN_02136	K01187
ANPAHHCN_02137	-
ANPAHHCN_02138	K00036
ANPAHHCN_02139	K00784
ANPAHHCN_02140	K00286
ANPAHHCN_02141	K07124
ANPAHHCN_02143	-
ANPAHHCN_02144	K01515
ANPAHHCN_02145	K03711
ANPAHHCN_02146	K04763
ANPAHHCN_02147	K09763
ANPAHHCN_02148	K05896
ANPAHHCN_02149	K06024
ANPAHHCN_02150	K06178
ANPAHHCN_02151	K07775
ANPAHHCN_02152	K07651
ANPAHHCN_02153	-
ANPAHHCN_02154	-
ANPAHHCN_02155	-
ANPAHHCN_02156	-
ANPAHHCN_02157	-
ANPAHHCN_02158	-
ANPAHHCN_02159	-
ANPAHHCN_02160	K05337
ANPAHHCN_02161	-
ANPAHHCN_02162	K03654
ANPAHHCN_02163	-
ANPAHHCN_02164	K00384
ANPAHHCN_02165	K01424
ANPAHHCN_02166	K00945
ANPAHHCN_02167	K02945
ANPAHHCN_02168	K03977
ANPAHHCN_02169	K00057
ANPAHHCN_02170	K03530
ANPAHHCN_02171	-
ANPAHHCN_02172	K03183
ANPAHHCN_02173	K00805
ANPAHHCN_02174	K00940
ANPAHHCN_02176	K01736
ANPAHHCN_02177	K01735
ANPAHHCN_02178	K00800
ANPAHHCN_02179	-
ANPAHHCN_02180	-
ANPAHHCN_02181	-
ANPAHHCN_02182	K06973
ANPAHHCN_02183	-
ANPAHHCN_02184	K00754
ANPAHHCN_02185	K00974
ANPAHHCN_02186	K03524
ANPAHHCN_02187	K03722
ANPAHHCN_02188	K01893
ANPAHHCN_02189	K02086
ANPAHHCN_02190	K10773
ANPAHHCN_02191	-
ANPAHHCN_02192	K05366
ANPAHHCN_02193	K03700
ANPAHHCN_02194	-
ANPAHHCN_02195	-
ANPAHHCN_02196	-
ANPAHHCN_02198	K07444
ANPAHHCN_02199	-
ANPAHHCN_02200	-
ANPAHHCN_02201	-
ANPAHHCN_02202	-
ANPAHHCN_02203	K00259
ANPAHHCN_02204	K01754
ANPAHHCN_02205	K03294
ANPAHHCN_02206	K08170
ANPAHHCN_02207	-
ANPAHHCN_02208	K03469
ANPAHHCN_02210	K09125
ANPAHHCN_02211	-
ANPAHHCN_02212	-
ANPAHHCN_02213	-
ANPAHHCN_02214	K00560
ANPAHHCN_02215	K00287
ANPAHHCN_02216	-
ANPAHHCN_02217	K07304
ANPAHHCN_02218	K07305
ANPAHHCN_02219	K02777
ANPAHHCN_02220	-
ANPAHHCN_02221	K03797
ANPAHHCN_02222	-
ANPAHHCN_02223	K02563
ANPAHHCN_02224	K19302
ANPAHHCN_02226	K18941
ANPAHHCN_02227	K18940
ANPAHHCN_02228	K00164
ANPAHHCN_02229	K00658
ANPAHHCN_02230	K15975
ANPAHHCN_02231	-
ANPAHHCN_02232	K04748
ANPAHHCN_02233	-
ANPAHHCN_02234	K03311
ANPAHHCN_02235	-
ANPAHHCN_02236	-
ANPAHHCN_02237	-
ANPAHHCN_02238	K01512
ANPAHHCN_02239	-
ANPAHHCN_02240	K03704
ANPAHHCN_02242	K01586
ANPAHHCN_02243	K01775
ANPAHHCN_02244	K05823
ANPAHHCN_02245	K00674
ANPAHHCN_02246	K00215
ANPAHHCN_02247	K01714
ANPAHHCN_02248	K00133
ANPAHHCN_02249	K00928
ANPAHHCN_02250	-
ANPAHHCN_02251	K00243
ANPAHHCN_02252	K02040
ANPAHHCN_02253	K02037
ANPAHHCN_02254	K02038
ANPAHHCN_02255	K02036
ANPAHHCN_02256	K02039
ANPAHHCN_02257	-
ANPAHHCN_02258	-
ANPAHHCN_02259	K02033
ANPAHHCN_02260	K02034
ANPAHHCN_02261	K02031
ANPAHHCN_02262	K02032
ANPAHHCN_02263	-
ANPAHHCN_02264	-
ANPAHHCN_02265	K11695
ANPAHHCN_02266	K11694
ANPAHHCN_02267	K01695
ANPAHHCN_02268	K01696
ANPAHHCN_02269	K01817
ANPAHHCN_02270	K01609
ANPAHHCN_02271	K00766
ANPAHHCN_02272	K01658
ANPAHHCN_02273	K01657
ANPAHHCN_02274	-
ANPAHHCN_02275	K04517
ANPAHHCN_02276	K02346
ANPAHHCN_02277	K01821
ANPAHHCN_02278	-
ANPAHHCN_02279	K07304
ANPAHHCN_02280	K14205
ANPAHHCN_02281	-
ANPAHHCN_02282	K03480
ANPAHHCN_02283	K03310
ANPAHHCN_02284	K02621
ANPAHHCN_02285	K02622
ANPAHHCN_02286	K08591
ANPAHHCN_02287	-
ANPAHHCN_02288	K07107
ANPAHHCN_02289	K01681
ANPAHHCN_02290	K05020
ANPAHHCN_02291	K03282
ANPAHHCN_02292	K03546
ANPAHHCN_02293	K03547
ANPAHHCN_02294	-
ANPAHHCN_02295	K09976
ANPAHHCN_02296	K00615
ANPAHHCN_02297	-
ANPAHHCN_02298	-
ANPAHHCN_02299	K01356
ANPAHHCN_02300	-
ANPAHHCN_02301	-
ANPAHHCN_02302	K02954
ANPAHHCN_02303	K02913
ANPAHHCN_02304	K03781
ANPAHHCN_02305	K03293
ANPAHHCN_02306	-
ANPAHHCN_02307	-
ANPAHHCN_02308	K00872
ANPAHHCN_02309	K01733
ANPAHHCN_02310	K00003
ANPAHHCN_02311	K00928
ANPAHHCN_02312	-
ANPAHHCN_02313	-
ANPAHHCN_02314	K01174
ANPAHHCN_02315	-
ANPAHHCN_02316	K02479
ANPAHHCN_02317	K07778
ANPAHHCN_02318	K01992
ANPAHHCN_02319	K01990
ANPAHHCN_02320	K06131
ANPAHHCN_02321	-
ANPAHHCN_02322	K01620
ANPAHHCN_02323	-
ANPAHHCN_02324	-
ANPAHHCN_02325	-
ANPAHHCN_02326	-
ANPAHHCN_02328	-
ANPAHHCN_02329	-
ANPAHHCN_02330	-
ANPAHHCN_02331	-
ANPAHHCN_02332	-
ANPAHHCN_02334	-
ANPAHHCN_02335	-
ANPAHHCN_02336	-
ANPAHHCN_02338	K01915
ANPAHHCN_02339	K03713
ANPAHHCN_02340	-
ANPAHHCN_02341	K03665
ANPAHHCN_02342	K00432
ANPAHHCN_02343	K03666
ANPAHHCN_02344	K00791
ANPAHHCN_02345	-
ANPAHHCN_02346	K00105
ANPAHHCN_02347	K00864
ANPAHHCN_02348	K02440
ANPAHHCN_02349	K02443
ANPAHHCN_02350	K03572
ANPAHHCN_02351	K03555
ANPAHHCN_02352	-
ANPAHHCN_02353	K02028
ANPAHHCN_02354	K06168
ANPAHHCN_02355	-
ANPAHHCN_02356	K00175
ANPAHHCN_02357	K00174
ANPAHHCN_02358	K02029
ANPAHHCN_02359	-
ANPAHHCN_02360	K18682
ANPAHHCN_02361	K03553
ANPAHHCN_02362	-
ANPAHHCN_02363	K00995
ANPAHHCN_02364	K15539
ANPAHHCN_02365	-
ANPAHHCN_02366	K00059
ANPAHHCN_02367	-
ANPAHHCN_02368	-
ANPAHHCN_02369	K03710
ANPAHHCN_02370	K03466
ANPAHHCN_02371	K12574
ANPAHHCN_02372	K00962
ANPAHHCN_02373	K02956
ANPAHHCN_02374	K11753
ANPAHHCN_02375	K03177
ANPAHHCN_02376	K02834
ANPAHHCN_02377	K02519
ANPAHHCN_02378	-
ANPAHHCN_02379	K07742
ANPAHHCN_02380	K02600
ANPAHHCN_02381	K09748
ANPAHHCN_02382	K03763
ANPAHHCN_02383	K01881
ANPAHHCN_02384	K11749
ANPAHHCN_02385	K00981
ANPAHHCN_02386	K00806
ANPAHHCN_02387	K02838
ANPAHHCN_02388	K09903
ANPAHHCN_02389	K02357
ANPAHHCN_02390	K02967
ANPAHHCN_02391	K03706
ANPAHHCN_02392	K03667
ANPAHHCN_02393	K01419
ANPAHHCN_02394	K03733
ANPAHHCN_02395	K04094
ANPAHHCN_02396	K03168
ANPAHHCN_02397	K04096
ANPAHHCN_02398	-
ANPAHHCN_02399	-
ANPAHHCN_02400	K01902
ANPAHHCN_02401	K01903
ANPAHHCN_02402	K03470
ANPAHHCN_02403	K14540
ANPAHHCN_02404	-
ANPAHHCN_02405	K02884
ANPAHHCN_02406	K00554
ANPAHHCN_02407	K02860
ANPAHHCN_02408	K02959
ANPAHHCN_02409	K03106
ANPAHHCN_02410	K09787
ANPAHHCN_02411	K03110
ANPAHHCN_02412	K03529
ANPAHHCN_02413	K03685
ANPAHHCN_02414	K02078
ANPAHHCN_02415	K00059
ANPAHHCN_02416	K00645
ANPAHHCN_02417	K03621
ANPAHHCN_02418	-
ANPAHHCN_02419	K03655
ANPAHHCN_02420	K07030
ANPAHHCN_02421	-
ANPAHHCN_02422	K02902
ANPAHHCN_02423	K00949
ANPAHHCN_02424	K01783
ANPAHHCN_02425	K06949
ANPAHHCN_02426	K08884
ANPAHHCN_02427	K20074
ANPAHHCN_02428	K06941
ANPAHHCN_02429	K03500
ANPAHHCN_02430	K00604
ANPAHHCN_02431	K01462
ANPAHHCN_02432	-
ANPAHHCN_02433	-
ANPAHHCN_02434	K04066
ANPAHHCN_02435	K01598
ANPAHHCN_02436	K03060
ANPAHHCN_02437	K00942
ANPAHHCN_02438	-
ANPAHHCN_02439	-
ANPAHHCN_02441	K00762
ANPAHHCN_02442	K01591
ANPAHHCN_02443	K01955
ANPAHHCN_02444	K01956
ANPAHHCN_02445	K01465
ANPAHHCN_02446	K00609
ANPAHHCN_02447	K02824
ANPAHHCN_02448	K02825
ANPAHHCN_02449	K06180
ANPAHHCN_02450	K03101
ANPAHHCN_02451	-
ANPAHHCN_02452	K07104
ANPAHHCN_02453	K01870
ANPAHHCN_02454	K04074
ANPAHHCN_02455	-
ANPAHHCN_02456	K02221
ANPAHHCN_02457	K09772
ANPAHHCN_02458	K06997
ANPAHHCN_02459	K05810
ANPAHHCN_02460	K03531
ANPAHHCN_02461	K03590
ANPAHHCN_02462	K03589
ANPAHHCN_02463	K01925
ANPAHHCN_02464	K01000
ANPAHHCN_02465	K08724
ANPAHHCN_02466	-
ANPAHHCN_02467	K03438
ANPAHHCN_02468	K03925
ANPAHHCN_02469	K22136
ANPAHHCN_02470	-
ANPAHHCN_02471	K01560
ANPAHHCN_02472	K20337
ANPAHHCN_02473	K20337
ANPAHHCN_02475	-
ANPAHHCN_02476	K11041
ANPAHHCN_02477	-
ANPAHHCN_02478	-
ANPAHHCN_02479	K00926
ANPAHHCN_02480	K00611
ANPAHHCN_02481	-
ANPAHHCN_02482	-
ANPAHHCN_02483	-
ANPAHHCN_02484	-
ANPAHHCN_02485	K11032
ANPAHHCN_02486	-
ANPAHHCN_02488	-
ANPAHHCN_02489	K14200
ANPAHHCN_02490	-
ANPAHHCN_02492	K14200
ANPAHHCN_02493	K07095
ANPAHHCN_02494	K02428
ANPAHHCN_02495	K01776
ANPAHHCN_02496	K00240
ANPAHHCN_02497	K00239
ANPAHHCN_02498	K00241
ANPAHHCN_02499	K03703
ANPAHHCN_02500	K03671
ANPAHHCN_02501	K07456
ANPAHHCN_02502	K02347
ANPAHHCN_02503	-
ANPAHHCN_02504	K09888
ANPAHHCN_02505	K03471
ANPAHHCN_02506	K01890
ANPAHHCN_02507	K01889
ANPAHHCN_02508	K03437
ANPAHHCN_02509	K07145
ANPAHHCN_02510	K08600
ANPAHHCN_02511	K02015
ANPAHHCN_02512	K02016
ANPAHHCN_02514	-
ANPAHHCN_02515	K14193
ANPAHHCN_02516	-
ANPAHHCN_02517	K02911
ANPAHHCN_02518	K07040
ANPAHHCN_02519	-
ANPAHHCN_02520	K00954
ANPAHHCN_02521	K08316
ANPAHHCN_02522	-
ANPAHHCN_02523	-
ANPAHHCN_02524	K01126
ANPAHHCN_02525	-
ANPAHHCN_02526	-
ANPAHHCN_02527	K08976
ANPAHHCN_02528	K02257
ANPAHHCN_02529	K02259
ANPAHHCN_02530	K01958
ANPAHHCN_02531	K03588
ANPAHHCN_02532	-
ANPAHHCN_02533	-
ANPAHHCN_02534	K06207
ANPAHHCN_02535	-
ANPAHHCN_02536	K01092
ANPAHHCN_02537	-
ANPAHHCN_02538	K03322
ANPAHHCN_02539	-
ANPAHHCN_02540	-
ANPAHHCN_02541	K11069
ANPAHHCN_02542	K11070
ANPAHHCN_02543	K11071
ANPAHHCN_02544	K02010
ANPAHHCN_02545	-
ANPAHHCN_02546	-
ANPAHHCN_02547	K00382
ANPAHHCN_02548	K00627
ANPAHHCN_02549	K00162
ANPAHHCN_02550	K00161
ANPAHHCN_02551	-
ANPAHHCN_02552	K01462
ANPAHHCN_02553	-
ANPAHHCN_02554	K12574
ANPAHHCN_02555	K03499
ANPAHHCN_02556	K00426
ANPAHHCN_02557	K00425
ANPAHHCN_02558	-
ANPAHHCN_02559	K08483
ANPAHHCN_02560	K11189
ANPAHHCN_02561	-
ANPAHHCN_02562	K06969
ANPAHHCN_02563	-
ANPAHHCN_02565	K16925
ANPAHHCN_02566	K16786
ANPAHHCN_02567	K16785
ANPAHHCN_02568	K01945
ANPAHHCN_02569	K00602
ANPAHHCN_02570	K11175
ANPAHHCN_02571	K01933
ANPAHHCN_02572	K00764
ANPAHHCN_02573	K01952
ANPAHHCN_02574	K01952
ANPAHHCN_02575	-
ANPAHHCN_02576	K01923
ANPAHHCN_02577	K01589
ANPAHHCN_02578	K01588
ANPAHHCN_02579	K01491
ANPAHHCN_02580	-
